"cancer_type" "species" "correlation"
"endometrial" "Ailurus_fulgens" 0.160665947836661
"gastric" "Ailurus_fulgens" 0.200589038464106
"glioma" "Ailurus_fulgens" 0.217260803500762
"head and neck" "Ailurus_fulgens" 0.229073169174523
"hepatocellular" "Ailurus_fulgens" 0.224403473232441
"intestine" "Ailurus_fulgens" 0.167135763443945
"kidney" "Ailurus_fulgens" 0.336394665931259
"leukaemia" "Ailurus_fulgens" 0.154125314839398
"liver" "Ailurus_fulgens" 0.266464349008504
"lung" "Ailurus_fulgens" 0.293205573291549
"lymphoma" "Ailurus_fulgens" 0.208947972327813
"melanoma" "Ailurus_fulgens" 0.258497266824651
"mesothelioma" "Ailurus_fulgens" 0.363602998354164
"oesophagus" "Ailurus_fulgens" 0.116866434475381
"other tumour types" "Ailurus_fulgens" 0.248180981590971
"ovarian" "Ailurus_fulgens" 0.224001763107464
"paediatric" "Ailurus_fulgens" 0.302401734773797
"pancreas" "Ailurus_fulgens" 0.138503299439357
"prostate" "Ailurus_fulgens" 0.185292141210583
"rare other tumour types" "Ailurus_fulgens" -0.132314951448472
"renal" "Ailurus_fulgens" 0.165079042278737
"sarcoma" "Ailurus_fulgens" 0.221913127733412
"skin" "Ailurus_fulgens" 0.160914459715407
"small intestine" "Ailurus_fulgens" 0.184768382804274
"soft tissue sarcoma" "Ailurus_fulgens" 0.118532347286354
"testicular" "Ailurus_fulgens" -0.192166313745198
"thyroid" "Ailurus_fulgens" 0.252576689262897
"urothelial" "Ailurus_fulgens" 0.208170397947594
"uterine" "Ailurus_fulgens" 0.172683753819938
"all" "Allactaga_bullata" 0.197870569598962
"bladder" "Allactaga_bullata" 0.224313698192821
"breast" "Allactaga_bullata" 0.168967646125153
"central nervous system" "Allactaga_bullata" 0.175997993853241
"colon" "Allactaga_bullata" 0.249365885203709
"colorectal" "Allactaga_bullata" 0.193068363865073
"endometrial" "Allactaga_bullata" 0.152805927371539
"gastric" "Allactaga_bullata" 0.180468495161388
"glioma" "Allactaga_bullata" 0.249154987799279
"head and neck" "Allactaga_bullata" 0.181022167410149
"hepatocellular" "Allactaga_bullata" 0.209579555949186
"intestine" "Allactaga_bullata" 0.177939549124572
"kidney" "Allactaga_bullata" 0.28677478120553
"leukaemia" "Allactaga_bullata" 0.111263506240957
"liver" "Allactaga_bullata" 0.183826800783907
"lung" "Allactaga_bullata" 0.239830452113918
"lymphoma" "Allactaga_bullata" 0.176557921159464
"melanoma" "Allactaga_bullata" 0.234960775727962
"mesothelioma" "Allactaga_bullata" 0.292902937711912
"oesophagus" "Allactaga_bullata" 0.175591509362847
"other tumour types" "Allactaga_bullata" 0.222851124458095
"ovarian" "Allactaga_bullata" 0.2017735706855
"paediatric" "Allactaga_bullata" 0.169313681943543
"pancreas" "Allactaga_bullata" 0.21740037269044
"prostate" "Allactaga_bullata" 0.129121048816295
"rare other tumour types" "Allactaga_bullata" 0.256745092885531
"renal" "Allactaga_bullata" 0.144425128478345
"sarcoma" "Allactaga_bullata" 0.224430507951538
"skin" "Allactaga_bullata" 0.154457959852795
"small intestine" "Allactaga_bullata" 0.212317629857076
"soft tissue sarcoma" "Allactaga_bullata" 0.330475072140863
"testicular" "Allactaga_bullata" 0.0649752087237636
"thyroid" "Allactaga_bullata" 0.210726370422589
"urothelial" "Allactaga_bullata" 0.263759768968514
"uterine" "Allactaga_bullata" 0.162526562313199
"all" "Alouatta_palliata" 0.592527602065943
"bladder" "Alouatta_palliata" 0.593243497545107
"breast" "Alouatta_palliata" 0.595236792431091
"central nervous system" "Alouatta_palliata" 0.527706687172291
"colon" "Alouatta_palliata" 0.602748602635868
"colorectal" "Alouatta_palliata" 0.577595771441494
"endometrial" "Alouatta_palliata" 0.560974230999659
"gastric" "Alouatta_palliata" 0.58673766130166
"glioma" "Alouatta_palliata" 0.610741557856479
"head and neck" "Alouatta_palliata" 0.598712184767741
"hepatocellular" "Alouatta_palliata" 0.612417244487444
"intestine" "Alouatta_palliata" 0.608455875331416
"kidney" "Alouatta_palliata" 0.625204197771096
"leukaemia" "Alouatta_palliata" 0.507778131503309
"liver" "Alouatta_palliata" 0.46258384628779
"lung" "Alouatta_palliata" 0.614330700011488
"lymphoma" "Alouatta_palliata" 0.555216712384415
"melanoma" "Alouatta_palliata" 0.619949034204007
